X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-18.288, -29.28, 0, -50.829, 69.848, 6975, 205, 205, 18
-18.288, -28.78, 0, -43.404, 176.53, 6976, 230, 230, 23
-17.788, -34.28, 0, -48.659, 126.09, 6975, 141, 141, 13
-17.788, -33.78, 0, -53.954, 156.72, 6975, 150, 150, 15
-17.788, -33.28, 0, -49.944, -97.897, 6973, 158, 158, 17
-17.788, -32.78, 0, -47.012, 77.382, 6972, 166, 166, 16
-17.788, -32.28, 0, -54.131, 174.01, 6972, 170, 170, 16
-17.788, -31.78, 0, -61.343, 157.27, 6972, 174, 174, 16
-17.788, -31.28, 0, -49.82, -16.184, 6974, 178, 178, 16
-17.788, -30.78, 0, -49.488, 63.882, 6974, 209, 209, 19
-17.788, -30.28, 0, -53.435, 110.82, 6976, 196, 196, 16
-17.788, -29.78, 0, -47.241, -154.56, 6978, 178, 178, 14
-17.788, -29.28, 0, -54.77, -45.861, 6975, 178, 178, 15
-17.788, -28.78, 0, -46.454, 73.688, 6975, 205, 205, 19
-17.288, -34.28, 0, -53.72, -150.69, 6974, 139, 139, 12
-17.288, -33.78, 0, -55.626, -136.41, 6974, 143, 143, 14
-17.288, -33.28, 0, -51.079, 121.3, 6979, 154, 154, 14
-17.288, -32.78, 0, -48.505, 172.85, 6974, 161, 161, 16
-17.288, -32.28, 0, -52.439, 59.591, 6972, 157, 157, 14
-17.288, -31.78, 0, -45.033, 27.782, 6972, 198, 198, 18
-17.288, -31.28, 0, -53.028, -136.05, 6974, 198, 198, 18
-17.288, -30.78, 0, -49.972, -89.758, 6975, 198, 198, 18
-17.288, -30.28, 0, -61.643, 75.672, 6975, 196, 196, 18
-17.288, -29.78, 0, -47.557, 77.278, 6976, 199, 199, 18
-17.288, -29.28, 0, -49.933, 156.25, 6977, 186, 186, 15
-17.288, -28.78, 0, -45.767, -72.524, 6977, 182, 182, 16
-16.788, -34.28, 0, -65.332, 26.062, 6973, 140, 140, 10
-16.788, -33.78, 0, -53.867, 51.065, 6972, 142, 142, 10
-16.788, -33.28, 0, -44.258, -141.25, 6972, 172, 172, 15
-16.788, -32.78, 0, -51.049, 57.96, 6973, 173, 173, 15
-16.788, -32.28, 0, -51.911, 28.303, 6972, 184, 184, 17
-16.788, -31.78, 0, -45.727, 171.72, 6972, 176, 176, 14
-16.788, -31.28, 0, -44.452, 8.2645, 6972, 171, 171, 13
-16.788, -30.78, 0, -55.511, 101.5, 6974, 184, 184, 14
-16.788, -30.28, 0, -55.408, -13.244, 6974, 192, 192, 15
-16.788, -29.78, 0, -52.59, -137.23, 6974, 179, 179, 15
-16.788, -29.28, 0, -50.416, -1.6787, 6975, 180, 180, 15
-16.788, -28.78, 0, -47.078, 132.46, 6976, 166, 166, 14
-20.49, -28.716, 0, -53.537, 10.337, 6964, 135, 135, 16
-20.49, -28.216, 0, -49.608, -88.136, 6964, 114, 114, 13
-20.49, -27.716, 0, -46.437, 120.67, 6964, 102, 102, 13
-20.49, -27.216, 0, -60.803, 152.98, 6966, 101, 101, 11
-20.49, -26.716, 0, -50.052, -149.82, 6965, 77, 77, 11
-20.49, -26.216, 0, -51.873, 23.025, 6966, 74, 74, 9
-20.49, -25.716, 0, -50.317, -90.848, 6966, 84, 84, 11
-20.49, -25.216, 0, -51.761, 43.674, 6966, 82, 82, 10
-20.49, -24.716, 0, -47.725, -88.038, 6966, 144, 144, 10
-19.99, -28.716, 0, -49.213, -125.07, 6966, 144, 144, 15
-19.99, -28.216, 0, -53, 14.163, 6966, 121, 121, 13
-19.99, -27.716, 0, -53.416, -72.894, 6966, 114, 114, 13
-19.99, -27.216, 0, -46.506, 123.27, 6966, 113, 113, 13
-19.99, -26.716, 0, -51.727, -100.3, 6967, 104, 104, 10
-19.99, -26.216, 0, -49.301, -162.97, 6969, 67, 67, 8
-19.99, -25.716, 0, -50.574, 52.563, 6969, 65, 65, 8
-19.99, -25.216, 0, -51.374, -174.19, 6968, 80, 80, 9
-19.99, -24.716, 0, -49.813, 41.776, 6968, 100, 100, 11
-19.49, -28.716, 0, -51.935, 96.53, 6968, 134, 134, 16
-19.49, -28.216, 0, -55.903, -108.59, 6966, 119, 119, 12
-19.49, -27.716, 0, -53.479, -39.049, 6966, 108, 108, 12
-19.49, -27.216, 0, -61.223, -87.145, 6966, 110, 110, 14
-19.49, -26.716, 0, -48.298, 109.87, 6967, 115, 115, 12
-19.49, -26.216, 0, -49.703, -162.27, 6969, 140, 140, 15
-19.49, -25.716, 0, -49.927, -86.896, 6969, 130, 130, 16
-19.49, -25.216, 0, -72.198, -107.02, 6968, 117, 117, 12
-19.49, -24.716, 0, -53.505, -65.582, 6968, 121, 121, 13
-18.99, -28.716, 0, -49.094, -153.5, 6976, 202, 202, 18
-18.99, -28.216, 0, -56.266, -146.68, 6976, 171, 171, 10
-18.99, -27.716, 0, -55.846, -32.62, 6974, 119, 119, 12
-18.99, -27.216, 0, -56.173, 6.2356, 6974, 151, 151, 17
-18.99, -26.716, 0, -56.56, 80.666, 6975, 146, 146, 16
-18.99, -26.216, 0, -50.855, 92.689, 6977, 146, 146, 16
-18.99, -25.716, 0, -52.349, -127.53, 6978, 152, 152, 20
-18.99, -25.216, 0, -50.021, 96.694, 6976, 111, 111, 14
-18.99, -24.716, 0, -49.998, 90.924, 6976, 118, 118, 15
-18.49, -28.716, 0, -46.547, -117.45, 6976, 247, 247, 23
-18.49, -28.216, 0, -47.803, 93.015, 6976, 231, 231, 23
-18.49, -27.716, 0, -49.316, -120.57, 6976, 218, 218, 18
-18.49, -27.216, 0, -51.67, -43.402, 6974, 219, 219, 19
-18.49, -26.716, 0, -48.578, 16.576, 6975, 141, 141, 17
-18.49, -26.216, 0, -55.195, 134.69, 6977, 146, 146, 17
-18.49, -25.716, 0, -50.614, 138.09, 6977, 156, 156, 18
-18.49, -25.216, 0, -45.355, -130.44, 6977, 118, 118, 15
-18.49, -24.716, 0, -66.129, -152.86, 6976, 99, 99, 11
-17.99, -28.716, 0, -50.742, 31.556, 6975, 205, 205, 20
-17.99, -28.216, 0, -49.325, -72.083, 6976, 223, 223, 21
-17.99, -27.716, 0, -44.988, 112.66, 6976, 210, 210, 19
-17.99, -27.216, 0, -45.805, -136.59, 6976, 200, 200, 16
-17.99, -26.716, 0, -49.272, -32.734, 6975, 210, 210, 19
-17.99, -26.216, 0, -52.825, -6.9336, 6977, 181, 181, 14
-17.99, -25.716, 0, -49.108, 122.21, 6977, 114, 114, 14
-17.99, -25.216, 0, -49.75, -149.95, 6978, 123, 123, 14
-17.99, -24.716, 0, -56.599, -128.72, 6978, 111, 111, 15
-17.49, -28.716, 0, -62.712, 107.16, 6975, 188, 188, 18
-17.49, -28.216, 0, -49.803, -108.77, 6975, 215, 215, 23
-17.49, -27.716, 0, -53.638, 33.849, 6975, 188, 188, 16
-17.49, -27.216, 0, -46.147, 110.96, 6977, 194, 194, 15
-17.49, -26.716, 0, -48.674, 154.33, 6977, 193, 193, 16
-17.49, -26.216, 0, -62.572, -80.924, 6977, 183, 183, 15
-17.49, -25.716, 0, -49.771, -42.489, 6977, 186, 186, 14
-17.49, -25.216, 0, -56.81, -169.46, 6978, 90, 90, 11
-17.49, -24.716, 0, -46.352, -170.88, 6977, 100, 100, 12
-16.99, -28.716, 0, -55.064, -113.21, 6977, 174, 174, 15
-16.99, -28.216, 0, -45.95, 80.881, 6978, 164, 164, 14
-16.99, -27.716, 0, -42.818, -134.49, 6977, 168, 168, 16
-16.99, -27.216, 0, -52.774, -88.415, 6977, 191, 191, 17
-16.99, -26.716, 0, -45.479, 20.202, 6980, 208, 208, 19
-16.99, -26.216, 0, -52.627, -153.69, 6981, 185, 185, 17
-16.99, -25.716, 0, -50.609, 115.17, 6979, 187, 187, 16
-16.99, -25.216, 0, -64.087, -102.6, 6980, 197, 197, 18
-16.99, -24.716, 0, -50.265, -162.28, 6979, 194, 194, 18
-16.5, -27.677, 0, -42.318, 24.151, 6978, 691, 691, 46
-16.5, -27.177, 0, -37.678, -125.12, 6979, 677, 677, 46
-16.5, -26.677, 0, -41.008, 76.548, 6979, 677, 677, 44
-16, -27.677, 0, -39.741, -15.992, 6976, 1052, 1052, 64
-16, -27.177, 0, -39.655, -176.3, 6976, 1075, 1075, 66
-16, -26.677, 0, -41.588, 25.769, 6978, 1083, 1083, 68
-15.5, -27.677, 0, -48.998, -16.771, 6979, 1119, 1119, 67
-15.5, -27.177, 0, -47.89, 151.63, 6979, 1133, 1133, 71
-15.5, -26.677, 0, -46.61, -11.012, 6979, 1072, 1072, 70
-19.306, -24.477, 0, -61.494, 147.88, 6974, 115, 115, 12
-19.306, -23.977, 0, -66.526, 173.62, 6975, 123, 123, 14
-19.306, -23.477, 0, -53.666, 151.8, 6974, 126, 126, 15
-19.306, -22.977, 0, -50.94, -38.078, 6974, 170, 170, 20
-19.306, -22.477, 0, -47.34, -47.537, 6974, 151, 151, 17
-19.306, -21.977, 0, -45.553, 106.8, 6974, 175, 175, 22
-19.306, -21.477, 0, -50.962, 51.833, 6974, 136, 136, 18
-19.306, -20.977, 0, -48.885, 63.563, 6974, 126, 126, 16
-19.306, -20.477, 0, -55.404, 43.768, 6975, 144, 144, 16
-19.306, -19.977, 0, -50.196, 151.77, 6975, 143, 143, 17
-19.306, -19.477, 0, -51.017, 85.157, 6976, 147, 147, 19
-19.306, -18.977, 0, -45.462, -60.902, 6976, 201, 201, 17
-19.306, -18.477, 0, -52.938, -171.33, 6974, 179, 179, 17
-19.306, -17.977, 0, -57.613, -82.037, 6974, 140, 140, 11
-19.306, -17.477, 0, -49.948, 119.61, 6975, 141, 141, 14
-19.306, -16.977, 0, -50.979, -38.958, 6972, 289, 289, 21
-19.306, -16.477, 0, -52.232, 115.6, 6973, 293, 293, 20
-18.806, -24.477, 0, -52.923, 12.478, 6976, 119, 119, 15
-18.806, -23.977, 0, -55.752, 20.629, 6976, 105, 105, 14
-18.806, -23.477, 0, -59.025, -63.464, 6977, 99, 99, 14
-18.806, -22.977, 0, -47.172, -149.82, 6976, 101, 101, 14
-18.806, -22.477, 0, -49.226, 95.804, 6976, 114, 114, 13
-18.806, -21.977, 0, -56.242, -161.79, 6976, 153, 153, 20
-18.806, -21.477, 0, -48.026, 150.38, 6977, 170, 170, 20
-18.806, -20.977, 0, -53.082, 171.51, 6977, 151, 151, 17
-18.806, -20.477, 0, -49.689, 155.7, 6977, 148, 148, 15
-18.806, -19.977, 0, -54.71, 84.105, 6977, 152, 152, 18
-18.806, -19.477, 0, -54.271, -120.51, 6977, 143, 143, 16
-18.806, -18.977, 0, -54.28, -16.808, 6977, 140, 140, 17
-18.806, -18.477, 0, -47.735, -26.157, 6976, 130, 130, 15
-18.806, -17.977, 0, -65.503, 31.91, 6976, 103, 103, 11
-18.806, -17.477, 0, -55.455, -63.35, 6974, 73, 73, 13
-18.806, -16.977, 0, -50.399, -144.43, 6974, 279, 279, 20
-18.806, -16.477, 0, -47.965, 50.917, 6974, 292, 292, 20
-18.306, -24.477, 0, -55.576, 174.48, 6976, 92, 92, 11
-18.306, -23.977, 0, -58.005, -108.3, 6976, 101, 101, 13
-18.306, -23.477, 0, -60.857, -37.272, 6977, 97, 97, 14
-18.306, -22.977, 0, -50.456, 13.715, 6976, 98, 98, 15
-18.306, -22.477, 0, -49.231, -140.33, 6976, 119, 119, 17
-18.306, -21.977, 0, -53.104, -93.954, 6976, 152, 152, 17
-18.306, -21.477, 0, -50.183, 43.509, 6976, 156, 156, 20
-18.306, -20.977, 0, -44.775, 10.894, 6977, 135, 135, 18
-18.306, -20.477, 0, -48.056, 132.95, 6977, 150, 150, 18
-18.306, -19.977, 0, -45.659, 97.198, 6977, 134, 134, 17
-18.306, -19.477, 0, -48.99, 60.101, 6976, 105, 105, 11
-18.306, -18.977, 0, -72.581, 8.5733, 6977, 111, 111, 16
-18.306, -18.477, 0, -52.068, -16.853, 6978, 140, 140, 16
-18.306, -17.977, 0, -49.94, -64.301, 6976, 130, 130, 14
-18.306, -17.477, 0, -53.409, 92.447, 6974, 103, 103, 13
-18.306, -16.977, 0, -54.236, -39.896, 6974, 250, 250, 19
-18.306, -16.477, 0, -58.927, 96.713, 6974, 244, 244, 20
-17.806, -24.477, 0, -53.309, -10.812, 6977, 78, 78, 12
-17.806, -23.977, 0, -64.901, -96.132, 6976, 63, 63, 9
-17.806, -23.477, 0, -54.427, -148.22, 6977, 110, 110, 14
-17.806, -22.977, 0, -46.719, 174.74, 6976, 108, 108, 15
-17.806, -22.477, 0, -53.27, 125.37, 6976, 118, 118, 17
-17.806, -21.977, 0, -45.91, 118.56, 6976, 135, 135, 19
-17.806, -21.477, 0, -46.387, -147.28, 6976, 155, 155, 19
-17.806, -20.977, 0, -45.147, 162.39, 6977, 99, 99, 15
-17.806, -20.477, 0, -58.076, -134.89, 6976, 107, 107, 16
-17.806, -19.977, 0, -54.753, -154.32, 6977, 125, 125, 18
-17.806, -19.477, 0, -48.112, 102.39, 6976, 122, 122, 14
-17.806, -18.977, 0, -49.427, 58.585, 6976, 120, 120, 13
-17.806, -18.477, 0, -60.822, 127.14, 6977, 118, 118, 14
-17.806, -17.977, 0, -45.517, -28.786, 6976, 121, 121, 14
-17.806, -17.477, 0, -58.821, -104.96, 6974, 114, 114, 16
-17.806, -16.977, 0, -51.573, 26.316, 6975, 192, 192, 18
-17.806, -16.477, 0, -55.504, -126.51, 6974, 253, 253, 20
-17.306, -24.477, 0, -44.838, -132.66, 6977, 125, 125, 15
-17.306, -23.977, 0, -49.118, -171.95, 6977, 102, 102, 14
-17.306, -23.477, 0, -52.878, 78.687, 6977, 104, 104, 14
-17.306, -22.977, 0, -50.795, 0.75995, 6976, 106, 106, 15
-17.306, -22.477, 0, -52.279, -65.595, 6976, 118, 118, 17
-17.306, -21.977, 0, -58.152, -114.23, 6976, 95, 95, 15
-17.306, -21.477, 0, -50.131, -38.187, 6976, 93, 93, 15
-17.306, -20.977, 0, -56.356, 4.1187, 6976, 133, 133, 19
